species;year;location_name;longitude;latitude
MAIZE;2013;KIR;31,900735;48,553027
MAIZE;2013;FLB;1,8755;48,4486
MAIZE;2013;GWB;12,12204;53,063103
MAIZE;2013;FCN;-0,5707;49,2616
MAIZE;2013;GAJ;11,908771;51,70689
MAIZE;2013;FBE;3,2611;48,5525
MAIZE;2013;GRE;12,313066;48,978875
MAIZE;2013;FAP;7,525279;48,496275
MAIZE;2013;FCO;1,28;47,732
MAIZE;2013;GAN;9,140515;49,305306
MAIZE;2013;GAN;9,146117;49,282419
MAIZE;2013;BPL;25,28739;43,22096
MAIZE;2013;RIA;27,68314;44,68147
MAIZE;2013;RCR;23,2208;43,9917
MAIZE;2013;FFC;-1,1651889;46,4784889
MAIZE;2013;RAL;25,168;43,90779
MAIZE;2013;FLT;1,6672;47,78264
MAIZE;2013;FCO;1,2695;47,741
MAIZE;2013;FOB;7,365073;47,948555
MAIZE;2013;FCO;1,2695;47,741
MAIZE;2013;FLT;1,6672;47,78264
MAIZE;2013;RCR;23,2208;43,9917
MAIZE;2013;BPL;25,28739;43,22096
MAIZE;2013;GAN;9,146117;49,282419
MAIZE;2013;RIA;27,68314;44,68147
MAIZE;2013;RAL;25,168;43,90779
MAIZE;2013;FOB;7,365073;47,948555
MAIZE;2013;FFC;-1,1651889;46,4784889
MAIZE;2013;FDM;4,9066667;44,7572222
MAIZE;2013;IBS;9,685655;45,299728
MAIZE;2013;EBA;-6,4872222;38,8811111
MAIZE;2013;FSO;-0,7280833;43,7729833
MAIZE;2013;ICN;7,632604;44,808371
MAIZE;2013;FLR;-0,011782;44,55486
MAIZE;2013;IRO;11,887845;45,102655
MAIZE;2013;IBG;9,6254;45,574885
MAIZE;2013;EZA;-0,743702;41,960293
MAIZE;2013;FOZ;-0,709505;43,48232
MAIZE;2013;FFC;-1,1651889;46,4784889
MAIZE;2013;GAK;10,186546;48,052091
MAIZE;2013;FBR;-3,666151;48,3302
MAIZE;2013;GCL;7,374748;52,874969
MAIZE;2013;UKA;-2,58634;51,693181
MAIZE;2013;UKF;-0,739871;53,013264
MAIZE;2013;NBI;5,810926;52,538328
MAIZE;2013;NAS;6,527525;53,057219
MAIZE;2013;GAU;8,269637;52,808386
MAIZE;2013;GAF;8,652052;53,746572
MAIZE;2013;FSE;1,236;47,762
MAIZE;2013;GAN;9,146117;49,282419
MAIZE;2013;FFC;-1,1651889;46,4784889
MAIZE;2013;GAM;10,566946;48,810412
MAIZE;2013;FSA;1,036;48,0145
MAIZE;2013;FBR;-3,666151;48,3302
MAIZE;2013;GCL;7,374748;52,874969
MAIZE;2013;NBI;5,810926;52,538328
MAIZE;2013;GWB;12,12204;53,063103
MAIZE;2013;GAK;10,174428;48,075007
MAIZE;2013;GVE;8,142299;52,74717
MAIZE;2013;GPS;14,075769;53,154108
MAIZE;2013;GAE;8,868129;50,766022
MAIZE;2013;GAE;8,868129;50,766022
MAIZE;2013;GAJ;11,908771;51,70689
MAIZE;2013;GPS;14,075769;53,154108
MAIZE;2013;GAK;10,174428;48,075007
MAIZE;2013;NBI;5,810926;52,538328
MAIZE;2013;FCN;-0,5407;49,2718
MAIZE;2013;FBR;-3,666151;48,3302
MAIZE;2013;GCL;7,374748;52,874969
MAIZE;2013;NBI;5,810926;52,538328
MAIZE;2013;NAS;6,527525;53,057219
MAIZE;2013;GAK;10,174428;48,075007
MAIZE;2013;FSA;1,036;48,0145
MAIZE;2013;FFC;-1,1651889;46,4784889
MAIZE;2013;GAN;9,146117;49,282419
MAIZE;2013;FSE;1,236;47,762
MAIZE;2013;GAM;10,566946;48,810412
MAIZE;2013;NBI;5,810926;52,538328
MAIZE;2013;GPS;14,075769;53,154108
MAIZE;2013;GCL;7,374748;52,874969
MAIZE;2013;GAK;10,174428;48,075007
MAIZE;2013;GVE;8,142299;52,74717
MAIZE;2013;GPS;14,075769;53,154108
MAIZE;2013;GAK;10,174428;48,075007
MAIZE;2013;GCL;7,374748;52,874969
MAIZE;2013;GVE;8,142299;52,74717
MAIZE;2013;NBI;5,810926;52,538328
MAIZE;2013;FCN;-0,5407;49,2718
MAIZE;2013;GWB;12,12204;53,063103
MAIZE;2013;GAJ;11,908771;51,70689
MAIZE;2013;GAM;10,566946;48,810412
MAIZE;2013;FVD;5,6771;49,0955
MAIZE;2013;GAM;10,566946;48,810412
MAIZE;2013;FCN;-0,5407;49,2718
MAIZE;2013;FVD;5,6771;49,0955
MAIZE;2013;GAJ;11,908771;51,70689
MAIZE;2013;GWB;12,12204;53,063103
MAIZE;2013;GAM;10,566946;48,810412
MAIZE;2013;GAJ;11,908771;51,70689
MAIZE;2013;GAE;8,868129;50,766022
MAIZE;2013;GPS;14,075769;53,154108
MAIZE;2013;GAK;10,174428;48,075007
MAIZE;2013;GAN;9,146117;49,282419
MAIZE;2013;NBI;5,810926;52,538328
MAIZE;2013;GPS;14,075769;53,154108
MAIZE;2013;GAK;10,174428;48,075007
MAIZE;2013;GWB;12,12204;53,063103
MAIZE;2013;GAE;8,868129;50,766022
MAIZE;2013;GCL;7,374748;52,874969
MAIZE;2013;GVE;8,142299;52,74717
MAIZE;2013;FLB;1,8755;48,4486
MAIZE;2013;GAJ;11,908771;51,70689
MAIZE;2013;FCN;-0,5707;49,2616
MAIZE;2013;KIR;31,900735;48,553027
MAIZE;2013;GRE;12,313066;48,978875
MAIZE;2013;FAP;7,525279;48,496275
MAIZE;2013;FBE;3,2611;48,5525
MAIZE;2013;GWB;12,12204;53,063103
MAIZE;2013;GAN;9,140515;49,305306
MAIZE;2013;GWB;12,12204;53,063103
MAIZE;2013;GAJ;11,908771;51,70689
MAIZE;2013;GAN;9,140515;49,305306
MAIZE;2013;KIR;31,900735;48,553027
MAIZE;2013;FCO;1,28;47,732
MAIZE;2013;FCN;-0,5707;49,2616
MAIZE;2013;FAP;7,525279;48,496275
MAIZE;2013;GRE;12,313066;48,978875
MAIZE;2013;FLB;1,8755;48,4486
MAIZE;2013;FBE;3,2611;48,5525
MAIZE;2013;FPZ;-4,665235;48,547242
MAIZE;2013;UKS;-2,336112;50,903154
MAIZE;2013;UKF;-0,739871;53,013264
MAIZE;2013;NBI;5,810926;52,538328
MAIZE;2013;GCL;7,374748;52,874969
MAIZE;2013;GAU;8,269637;52,808386
MAIZE;2013;NAS;6,527525;53,057219
MAIZE;2013;GAF;8,652052;53,746572
MAIZE;2013;UKA;-2,58634;51,693181
MAIZE;2013;DSK;9,027715;56,629373
MAIZE;2013;FBR;-3,666151;48,3302
MAIZE;2013;ICR;10,197753;45,169153
MAIZE;2013;IVZ;11,370851;45,364864
MAIZE;2013;IBS;9,685655;45,299728
MAIZE;2013;GAB;9,225468;49,296969
MAIZE;2013;GAM;10,566946;48,810412
MAIZE;2013;GAN;9,146117;49,282419
MAIZE;2013;FSE;1,236;47,762
MAIZE;2013;FBR;-3,666151;48,3302
MAIZE;2013;FCN;-0,5407;49,2718
MAIZE;2013;GAE;8,868129;50,766022
MAIZE;2013;GAJ;11,908771;51,70689
MAIZE;2013;GPS;14,075769;53,154108
MAIZE;2013;GAK;10,174428;48,075007
MAIZE;2013;NBI;5,810926;52,538328
MAIZE;2013;FCN;-0,5407;49,2718
MAIZE;2013;GAK;10,174428;48,075007
MAIZE;2013;NBI;5,810926;52,538328
MAIZE;2013;GAE;8,868129;50,766022
MAIZE;2013;GAF;8,652052;53,746572
MAIZE;2013;GCL;7,374748;52,874969
MAIZE;2013;FBR;-3,666151;48,3302
