Sample;CLUSTER;IWS_R1-R2;IWS_V12-R1;MOYDAY_R1-R2;MOYRG_V7-V12;MOYRG_VE-V7;NBDMAX1_R2-R6;NBDMIN1_R1-R2;NBDMIN1_R2-R6;NBDMIN1_V12-R1;NBDMIN1_V7-V12;SUMH2O_R1-R2;SUMH2O_R2-R6;SUMH2O_S-VE;SUMH2O_V7-V12;SUMH2O_VE-V7;SUMRG_R1-R2;SUMRG_R2-R6;SUMRG_V12-R1
1;1;0,2964;0,011;12,8696;16,7154;13,6814;0;2;4;4;3;41,9;76,4;11,6;48;251;387,1091;554,2265;428,3752
2;1;0,3875;0,0059;12,7273;17,0842;16,5183;0;0;0;0;1;41,1;49,8;23,5;10,3;133,5;390,676;544,4456;421,8761
3;1;0,0598;0;13,4211;15,7963;16,408;0;0;4;5;0;54,4;29,8;5,5;90,5;46,9;337,684;627,2852;419,5372
4;1;0,544;0,0087;13,5263;17,9338;15,1332;0;0;5;6;1;40,8;29,7;3,7;148,5;100,1;321,4195;664,9175;398,2709
5;1;0,1627;0;13,3889;16,9642;15,5918;0;0;5;5;1;44,9;29,6;6,9;196,5;60,2;328,7365;625,621;408,2609
6;1;0,048;0,0019;13,0526;16,9627;13,9416;0;0;4;2;2;44,7;44;1,3;31,7;347,2;323,6771;620,654;427,0673
7;1;0,2825;0,0315;12,5909;18,2933;13,6814;0;2;8;2;5;50,9;75;11,6;48;251;376,3912;599,0645;382,4672
8;1;0,4515;0,0144;12,7619;17,4449;16,5183;0;0;7;0;1;17,8;51,9;23,5;11,1;133,5;404,8117;575,0086;400,3906
9;1;0;0;12,95;14,3626;13,3384;2;2;0;4;2;126,1;221,7;2;33,2;285,6;309,2836;586,8925;434,7187
10;1;0;0;12,8421;17,4667;15,1966;2;2;1;2;3;77,2;146,6;33;17,4;269,9;333,752;590,1156;427,0964
11;1;0;0,0127;13,4444;23,0741;15,3347;0;3;5;4;4;104,1;12,3;12,4;24;167,5;313,2842;686,4656;443,9023
12;1;0,0724;0,0072;13,3684;16,4892;16,408;0;0;4;4;1;52,3;32,6;5,5;172,8;46,9;320,427;637,0632;400,4374
13;1;0,3454;0;13,4583;21,7259;15,5678;0;6;9;2;5;26,9;32,4;0;72;95,9;424,0674;631,1743;335,5164
14;1;0,2412;0,0053;13,3684;16,7249;15,5918;0;0;5;4;2;37,9;32,3;6,9;225,3;60,2;307,6607;623,1402;410
15;1;0,0112;0;12,8095;16,0205;14,1356;2;4;2;2;3;46,8;147,7;9,3;47,7;170,8;369,1411;561,3498;429,6233
16;1;0;0;12,9048;15,361;13,3384;2;2;2;2;4;126,1;192,1;2;33,2;285,6;341,0474;588,7429;408,0582
17;1;0;0;12,8421;18,5448;15,1966;2;2;3;2;3;77,2;147,2;33;17,4;269,9;343,12;605,2212;409,7117
18;1;0;0,0124;13,45;21,8639;15,3347;0;5;4;2;6;49,8;17,2;12,4;29,3;167,5;361,633;653,7874;403,2029
19;1;0,0684;0;12,75;18,3748;13,8995;2;4;4;2;2;46,7;149,8;9,3;40,9;177,6;369,5195;583,1309;398,4772
20;1;0,0907;0,0225;13,2105;16,9618;14,7917;5;0;1;1;1;99;187,3;22,1;20,8;136,5;369,544;710,7545;434,7364
21;1;0;0;12,7895;19,0062;15,1966;2;2;6;2;3;82,4;127,4;33;25,6;269,9;364,4212;649,9354;361,6474
22;1;0;0,0063;13,4211;22,3199;15,6376;0;5;11;1;5;39,7;36,7;12,4;25;171,8;340,47;732,4614;385,4671
23;1;0,0255;0;13;17,7791;15,0997;5;0;1;1;0;101,1;151;22,1;14,3;143,1;368,3506;714,0053;414,1955
24;1;0;0;12,9444;18,5771;14,191;8;4;6;3;3;99,7;145;16,1;28,9;99,3;341,6706;716,0735;404,1338
25;1;0;0;13,0625;16,2774;13,5811;12;1;1;1;0;93,2;207,5;3,9;64,3;107,7;283,4136;744,4422;366,4818
26;1;0,55;0,1979;13,0625;16,2774;13,5811;12;1;1;1;0;68,2;104,5;3,9;64,3;107,7;283,4136;744,4422;366,4818
27;1;0;0;12,8235;15,4405;15,36;7;0;1;2;2;101,3;220,4;106,9;61,5;153,4;286,6712;721,7302;399,8185
28;1;0;0;12,8235;18,7009;14,191;8;4;7;2;4;55,9;145;16,1;38,2;99,3;334,7262;715,9284;367,4909
29;1;0;0;12,9444;18,4278;15,0538;8;0;0;0;0;104,4;173,6;28,3;41,9;130,2;360,0083;711,3049;432,9281
30;1;0;0;12,875;16,413;13,7268;12;1;2;1;0;76,6;92,9;18,7;56,3;113,8;275,9515;708,1272;399,1363
31;1;0,4406;0,3128;12,875;16,413;13,7268;12;1;2;1;0;76,6;92,9;18,7;56,3;113,8;275,9515;708,1272;399,1363
32;1;0;0;13,0625;15,416;14,7423;11;1;1;1;0;85,5;153,9;17,1;110,5;111,7;283,4136;729,4889;366,4818
33;1;0;0;12,8235;15,2995;15,36;7;0;2;2;2;100,4;220,4;106,9;61,5;153,4;302,342;718,0661;401,8342
34;1;0;0;12,7778;19,8452;14,191;8;3;14;1;6;68;156,8;16,1;78,2;99,3;355,306;720,95;311,6999
35;1;0;0;12,8125;17,2436;13,7268;12;1;2;1;0;83,5;86;18,7;86,3;113,8;267,088;706,3988;399,3239
36;1;0;0;12,875;15,0564;14,7423;12;1;1;1;0;86,9;209,3;17,1;120,8;111,7;260,9143;747,4871;388,5743
37;1;0;0;13,5;21,9728;15,7393;0;3;5;3;3;83,3;12,3;15,2;25;169;320,3118;661,365;433,8108
38;1;0,1458;0;13,08;16,1073;18,5771;0;0;0;0;1;54;34,1;2;61,9;137,3;363,3707;337,779;378,139
39;1;0,6011;0,0014;12,3333;15,3029;19,4517;0;2;31;1;0;32,5;60,2;17,6;31,5;131,6;299,1053;389,9891;413,3261
