Sample;CLUSTER;IWS_F1-M0;IWS_M0-M3;MOYDAY_E1-F1;MOYDAY_F1-M0;MOYDAY_M0-M3;MOYDAY_VE-E1;MOYPTQ_F1-M0;MOYPTQ_M0-M3;MOYTMIN_S-VE;NBDMAX1_E1-F1;NBDMIN1_E1-F1;SUMH2O_E1-F1;SUMH2O_F1-M0;SUMH2O_M0-M3;SUMH2O_S-VE;SUMH2O_VE-E1;SUMRG_E1-F1;SUMRG_F1-M0
1;1;0,0676;0,7501;14,3684;13,85;12,9706;13,6786;1,4755;1,1772;14,3833;0;1;29,2;22,7;37,6;4;91,2;424,4141;440,8254
2;1;0,0116;0,888;14,6316;14,4118;13,871;13,75;1,2503;1,4589;8,9667;0;0;80,9;19,4;7,5;2,3;40;457,8358;377,9734
3;1;0,0101;0,8938;14,6471;14,2353;13,7778;13,5484;1,105;1,3779;12,95;0;0;44,7;34,2;4,8;0;10,3;430,9866;348,6794
4;1;0,0471;0,8839;14,3529;14,1429;12,4571;14,6667;1,4928;1,3335;12,2571;0;0;21,8;14,6;45,5;24,3;81,6;364,9802;444,2774
5;1;0,0495;0,4315;14,6667;14,2222;12,6875;13,5455;1,4541;1,2336;10,6857;1;1;64;83,9;60,9;3,3;74,6;447,2957;454,9723
6;1;0,1161;0,6902;14,5238;14,25;12,7778;13,3404;1,3416;1,2661;10,55;1;0;31,6;31,4;82;7,5;119,6;410,3842;409,3099
7;1;0,5411;0,1989;14,6842;14,5;12,875;13,8125;1,4645;1,2699;11,1286;2;1;37,1;42,1;143,5;2,7;37,7;492,4379;409,1666
8;1;0,2398;0,9963;14,4211;14,1111;12,6452;14,4516;1,3933;1,253;9,8875;1;1;17,7;9,5;2,3;1;44,9;431,3884;412,547
9;1;0,0296;0,9158;14,4;14,4211;12,7241;14,3548;1,6749;1,2141;8,9;0;1;73,9;10,8;9,7;11,5;65,3;438,0959;485,3718
10;1;0;0,5075;14,2778;13,7143;12,8485;13,8333;1,5525;1,4421;7,3455;0;0;67,2;57,2;17,6;13,7;112,7;366,4789;455,8889
11;1;0;0,7574;14,4211;14;12,931;14,069;1,6662;1,2766;9,9667;0;0;65,8;35,4;12,5;9,8;72,9;392,2445;492,6222
12;1;0;0,6645;14,4444;14,15;13,4615;13,8485;1,4459;1,4064;7,1923;0;0;12,4;103,6;3,1;19,9;20,6;417,4218;435,2821
13;1;0;0,7951;14;13,8421;13,2143;13,7931;1,7168;1,2133;9,5444;0;0;70,8;21,1;10,3;10,1;65;355,6051;479,8102
14;1;0;0,2797;14,6471;14,5;12,75;14,7778;1,5284;1,5381;8,4636;2;1;51,3;72,4;28,3;23,7;10,6;396,3794;445,6627
15;1;0;0,5907;14,7059;14,45;12,9062;14,1795;1,4645;1,333;7,3091;0;0;39,5;20;70,1;21,8;117,3;424,9346;451,5599
16;1;0,0034;0,4314;14,6842;13,8824;12,5667;14,5;1,4012;1,2026;11,8375;0;1;42,9;22,3;76,3;27,3;131;433,8086;402,9505
17;1;0;0,5963;14,625;14,7;12,9667;13,7317;1,5784;1,2973;6,6769;0;0;76,2;45,4;36;1,1;94,5;361,9314;483,3252
